公司,841,0.0428251349424585,n
风险,321,0.01634586006721662,n
年,309,0.01573479987778796,m
影响,191,0.00972604134840615,vn
生产,189,0.009624197983501375,vn
产品,176,0.008962216111620328,n
万元,175,0.00891129442916794,m
项目,168,0.008554842652001222,n
可能,147,0.007485487320501069,v
经营,137,0.006976270495977187,vn
行业,122,0.006212445259191363,n
企业,117,0.005957836846929423,n
月,112,0.005703228434667481,m
主要,109,0.005550463387310317,b
业务,101,0.005143089927691211,n
导致,94,0.004786638150524493,v
不能,93,0.0047357164680721054,v
收入,93,0.0047357164680721054,v
存在,91,0.004633873103167329,v
投资,89,0.004532029738262553,vn
技术,89,0.004532029738262553,n
会,88,0.004481108055810164,v
市场,86,0.0043792646909053875,n
药用,84,0.004277421326000611,n
不利,83,0.004226499643548222,a
胶囊,82,0.004175577961095835,n
应收,82,0.004175577961095835,v
相关,80,0.004073734596191058,v
客户,80,0.004073734596191058,n
产生,78,0.003971891231286282,n
未来,76,0.0038700478663815053,t
新,74,0.003768204501476729,n
资金,73,0.0037172828190243407,n
账款,73,0.0037172828190243407,n
因素,69,0.003513596089214788,n
增加,69,0.003513596089214788,v
国家,68,0.0034626744067623996,n
中,67,0.0034117527243100114,f
占,65,0.003309909359405235,v
发生,65,0.003309909359405235,v
发展,65,0.003309909359405235,vn
药品,65,0.003309909359405235,n
价格,64,0.0032589876769528467,n
业绩,64,0.0032589876769528467,n
管理,64,0.0032589876769528467,vn
控制,62,0.00315714431204807,v
募集,60,0.0030553009471432934,v
本次,60,0.0030553009471432934,r
销售,59,0.003004379264690905,vn
一定,59,0.003004379264690905,d
变化,59,0.003004379264690905,vn
报告,58,0.002953457582238517,n
期内,58,0.002953457582238517,f
研发,58,0.002953457582238517,j
高新技术,55,0.0028006925348813523,n
工程,55,0.0028006925348813523,n
比例,53,0.002698849169976576,n
采购,51,0.0025970058050717995,v
政策,51,0.0025970058050717995,n
纤维素,50,0.0025460841226194113,n
出现,50,0.0025460841226194113,v
醚,48,0.002444240757714635,n
营业,48,0.002444240757714635,n
规模,47,0.0023933190752622466,n
实施,47,0.0023933190752622466,v
日,47,0.0023933190752622466,m
进行,47,0.0023933190752622466,v
规定,46,0.0023423973928098584,n
成本,45,0.00229147571035747,n
下降,45,0.00229147571035747,v
空心,45,0.00229147571035747,n
发行人,44,0.002240554027905082,n
质量,43,0.0021896323454526937,n
发行,43,0.0021896323454526937,v
合同,43,0.0021896323454526937,a
波动,42,0.0021387106630003055,vn
情况,42,0.0021387106630003055,n
